,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,pre_¿Cuál es tu sexo?,pre_Curso,pre_Pregunta 17,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,pre sum,post sum,difference
5169,1.0,1.0,0.0,0,0.0,1.0,1,1.0,0,0,0.25,0.5,0.75,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.5,0.75,1.0,Chico,6º Primaria,Sí,5.0,3.0,De reconocimiento de textos,7.25,7.5,0.25
6201,1.0,1.0,0.0,1,0.0,1.0,0,0.0,0,1,0.75,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.5,Chico,3º ESO,Sí,5.0,5.0,De reconocimiento de textos,8.0,12.25,4.25
3106,0.0,1.0,1.0,0,0.0,1.0,1,0.0,1,1,0.75,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,Chica,4º ESO,Sí,5.0,2.0,He hecho proyectos de los dos tipos,8.75,9.75,1.0
3101,1.0,0.0,0.0,0,0.0,1.0,0,1.0,1,1,0.5,0.75,0.75,0.75,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.5,Chica,4º ESO,Sí,1.0,1.0,De reconocimiento de textos,7.75,9.25,1.5
5817,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0,1,0.75,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.25,Chico,5º Primaria,No,4.0,2.0,He hecho proyectos de los dos tipos,6.25,7.25,1.0
6211,1.0,0.0,0.0,0,1.0,0.0,0,0.0,1,0,0.75,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,0.5,0.5,1.0,Chico,3º ESO,"No, pero he programado en otro lenguage",2.0,1.0,He hecho proyectos de los dos tipos,5.75,4.75,-1.0
6205,0.0,1.0,1.0,1,0.0,1.0,0,0.0,0,0,0.0,1.0,1.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,Chica,3º ESO,Sí,4.0,3.0,De reconocimiento de textos,6.75,5.75,-1.0
5818,1.0,1.0,1.0,0,0.0,1.0,1,0.0,1,1,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,Chica,5º Primaria,No,5.0,3.0,De reconocimiento de imágenes,9.25,13.25,4.0
6212,1.0,1.0,1.0,1,0.0,0.0,1,0.0,1,1,0.0,0.75,0.75,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,Chico,3º ESO,Sí,4.0,4.0,De reconocimiento de textos,9.0,8.0,-1.0
4119,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.75,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,Chico,4º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,13.0,13.0,0.0
4115,1.0,0.0,1.0,1,1.0,1.0,1,0.0,1,1,0.25,0.25,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.25,0.75,1.0,Chica,4º ESO,Sí,4.0,3.0,He hecho proyectos de los dos tipos,10.25,10.5,0.25
6204,1.0,1.0,1.0,1,0.0,1.0,1,0.0,0,1,0.75,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,0.5,0.25,0.0,Chico,3º ESO,Sí,5.0,3.0,He hecho proyectos de los dos tipos,10.0,9.0,-1.0
6215,1.0,1.0,0.0,0,0.0,1.0,0,1.0,1,0,0.25,0.75,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.25,0.75,0.5,Chica,3º ESO,Sí,3.0,3.0,De reconocimiento de imágenes,6.75,8.75,2.0
6200,0.0,1.0,1.0,1,0.0,1.0,1,0.0,1,0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,Chica,3º ESO,Sí,3.0,2.0,De reconocimiento de textos,8.0,6.0,-2.0
3102,1.0,1.0,1.0,1,1.0,1.0,0,0.0,0,1,0.25,0.75,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.5,Chico,4º ESO,Sí,4.0,2.0,He hecho proyectos de los dos tipos,9.5,9.5,0.0
6272,1.0,1.0,1.0,0,1.0,1.0,0,1.0,0,0,0.5,0.75,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.75,1.0,0.75,Chico,1º ESO,Sí,5.0,3.0,De reconocimiento de textos,9.0,10.0,1.0
5873,0.0,1.0,0.0,1,1.0,1.0,1,0.0,0,0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,Chica,5º Primaria,No,3.0,3.0,De reconocimiento de textos,7.5,7.0,-0.5
3629,1.0,1.0,0.0,0,0.0,1.0,1,0.0,1,1,0.75,0.5,0.25,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.5,0.5,Chica,2º ESO,Sí,4.0,4.0,De reconocimiento de textos,8.0,9.5,1.5
5813,0.0,1.0,0.0,1,0.0,0.0,0,0.0,1,0,0.25,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.25,0.5,0.75,Chico,5º Primaria,Sí,3.0,4.0,De reconocimiento de textos,5.0,8.0,3.0
6206,0.0,0.0,0.0,0,0.0,0.0,1,0.0,1,0,0.75,0.25,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.75,1.0,0.5,Chica,3º ESO,Sí,3.0,3.0,De reconocimiento de imágenes,4.0,4.75,0.75
1722,1.0,1.0,1.0,1,1.0,1.0,1,0.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.25,1.0,0.75,Chico,5º Primaria,Sí,3.0,4.0,De reconocimiento de textos,10.0,8.25,-1.75
5804,0.0,0.0,1.0,1,0.0,0.0,1,1.0,0,0,0.75,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.75,0.25,0.0,0.5,Chico,5º Primaria,No,4.0,3.0,De reconocimiento de imágenes,6.25,7.5,1.25
1008,1.0,1.0,0.0,1,1.0,1.0,1,1.0,1,1,0.25,0.25,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.75,Chico,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,10.25,12.5,2.25
6202,0.0,1.0,1.0,1,0.0,1.0,1,1.0,1,0,0.5,0.5,1.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.75,0.25,1.0,0.75,Chica,3º ESO,Sí,5.0,4.0,De reconocimiento de textos,9.75,8.75,-1.0
1002,1.0,1.0,1.0,1,1.0,1.0,1,1.0,0,1,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.25,1.0,Chico,4º ESO,No,4.0,4.0,De reconocimiento de textos,11.75,12.25,0.5
2006,1.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.25,0.25,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,No quiero responder,4º ESO,Sí,4.0,3.0,De reconocimiento de textos,11.0,11.0,0.0
3117,1.0,1.0,1.0,1,0.0,1.0,0,0.0,0,1,0.5,0.25,0.75,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.75,0.25,0.75,Chica,4º ESO,No,3.0,2.0,De reconocimiento de textos,7.75,10.5,2.75
3123,0.0,1.0,1.0,1,0.0,1.0,1,0.0,0,1,0.5,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,0.5,Chico,4º ESO,Sí,4.0,2.0,De reconocimiento de textos,8.25,10.75,2.5
