,pre_¿Cuál es tu sexo?,pre_Curso,pre_Dispositivo electrónico,pre_Pregunta 1,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,pre_Pregunta 16,pre_Pregunta 17,pre_Pregunta 18,post_¿Cuál es tu sexo?,post_Curso,post_Dispositivo electrónico,post_Pregunta 1,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,post_Pregunta 16,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,post_Pregunta 20,post_Pregunta 21
5119,Chico,6º Primaria,Ordenador fijo,La manera de jugar online con tus amigos.,0,1,0,1,0,1,0,0,0,1,0.0,0.5,0.5,0.25,no se,Sí,si,Chico,6º Primaria,Tableta,La inteligencia artificial es una manera de crear juegos .,0,0,1,0,0,0,0,0,0,1,0.5,1,0.5,1,,1,3,De reconocimiento de textos,"Para clasificar los textos

","Ninguna
"
4302,Chico,3º ESO,Teléfono móvil,"Un programa que aprende de sus errores
",0,1,0,1,0,1,1,1,1,0,0.75,0.5,1.0,0.5,No se,Sí,,Chico,3º ESO,Teléfono móvil,Es la inteligencia llevada a cabo por maquinas,1,1,1,0,1,1,1,1,1,1,0.75,1,1,0.5,,4,5,De reconocimiento de textos,Para clasificar el texto que ha puesto el jugador según la coincidencia que tiene con los textos aprendidos,
5161,Chica,6º Primaria,Ordenador portátil,Pues algo que no tení an antes,1,1,0,1,0,0,1,1,1,0,0.5,0.75,0.25,0.5,Que te pueden jakear.,Sí,no lo se,Chica,6º Primaria,Ordenador portátil,pues yo creo que es el futuro,1,1,0,1,0,1,0,1,1,1,0.5,0.75,0.25,0.25,pues que te pueden hakear,5,2,De reconocimiento de imágenes,no lo se,esta todo bien yo no cambiaria nada
626620590,,5º Primaria,Ordenador portátil,Aprendizaje automatico.,1,0,0,0,0,1,1,1,1,0,0.5,1.0,0.5,0.5,no damos los datos privados a nadie y enganches de los juegos.,No,No lo usado.,Chico,5º Primaria,Ordenador portátil,aprendizaje automatico,1,0,0,0,0,0,1,1,1,0,0.5,1,0.5,0.25,Dar mis datos ha personas desconocidas.,4,3,De reconocimiento de textos,Para poner un especie de texto como frase.,Entrenarlo con diferentes textos.
5870,Chica,5º Primaria,Teléfono móvil,Es como cuando entras en Netflix o en HBO cuando entras te salen películas que ves amenudo,,0,0,0,1,0,1,,0,1,0.5,0.75,0.25,0.5,,Sí,,Chica,5º Primaria,Teléfono móvil,Quando vas al Netflix et surten películas que ves a amenudo,1,0,0,0,0,0,1,0,0,0,0.5,0.75,0.25,0.5,,4,2,De reconocimiento de imágenes,,
5175,Chico,6º Primaria,Ordenador portátil,"Son las programas para que las maquinas,ordenadores,...sean interactivas",1,1,1,0,1,1,1,1,1,1,0.25,0.5,1.0,0.75,que el entrenamiento este mal planteado y que las respuestas que de sean malas,Sí,"no me acuerdo, hace 2 años",Chico,6º Primaria,Ordenador portátil,Son programaciones para hacer que las maquinas tengan un comportamiento más humano,1,1,1,1,1,1,1,0,1,1,0.5,1,1,1,"Si la IA no esta bien entrenada, puede dar resultado erróneos que nos pueden llevar a equivocarnos.",4,3,De reconocimiento de imágenes,Es un conector que unía un paso detrás de otro ,Para mi esta bien
3303,Chico,4º ESO,Ordenador portátil,son los métodos que utiliza el ser humano para recrear nuestra inteligencia en aparatos tecnológicos,1,1,1,0,0,1,1,1,1,1,0.25,0.25,0.75,1.0,,No,,Chico,4º ESO,Ordenador portátil,es la ciencia que busca la creación de máquinas que soluccionen problemas que requieran inteligencia.,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.25,1,El peligro es que no se regulen unas leyes que cntrolen el uso de IA en el mundo.,4,3,De reconocimiento de imágenes,para clasificar el texto en cada opción,"me parece que la aplicación está muy bien, lo único que al principio me parecía un poco lioso, pero cambios, no tengo ninguna mejor propuesta."
200,Chica,4º ESO,Ordenador portátil,Una forma de inteligencia creada por los humanos para que la desarollen máquinas.,1,1,0,1,1,1,1,0,1,1,0.25,0.75,0.75,0.5,,No,,Chica,4º ESO,Ordenador portátil,,0,1,0,1,1,1,1,1,1,1,1,0.75,1,0,,5,4,De reconocimiento de textos,para clasificar el texto que has escrito dentro de las categorías que has hecho,
202,Chico,4º ESO,Tableta,Es el desarrollo de los humanos pero realizado por robots ,1,1,0,0,0,1,1,1,1,1,0.0,0.5,0.5,0.75,El peligro de que no lo hace un humano ,Sí,,Chico,4º ESO,Teléfono móvil,Es el aprendizaje de una máquina mediante una serie de parámetros escritos por el ser humano ,0,0,1,1,0,1,0,0,1,0,0.75,0.5,0.5,0.5,No conozco ningún ejemplo ,,,De reconocimiento de textos,Es el bloque que lleva el aprendizaje ,Más potente en cuanto a reconocimiento de imágenes 
201,Chica,4º ESO,Tableta,,1,1,1,1,0,1,1,1,1,1,0.75,1.0,1.0,1.0,Pueden llegar a conseguir información que no queramos que tengan,Sí,Ahora mismo no tengo ninguno,Chica,4º ESO,Tableta,Creo que es usar la tecnología para que pueda trabajar automáticamente sin necesidad de una persona controlando la máquina todo el tiempo y que trabaje sola.,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,1,Pueden robar tus datos personales para su propio bien,5,4,De reconocimiento de textos,Para añadir un texto que la persona quiera,"En mi caso intenté hacer un proyecto con imagenes, pero tadó demasiado en aprender y no puede realizarlo."
215,Chico,4º ESO,Ordenador fijo,La inteligencia artificial es el conocimiento que aprende una maquina a partir de practicas que le damos,1,1,1,1,1,1,1,1,1,1,0.5,0.75,1.0,1.0,Que el dispositivo que tiene inteligencia artificial se puede conectar a otros dispositivos y controlarlos,Sí,,Chico,4º ESO,Ordenador fijo,La inteligencia artificial es la inteligencia de la maquina al aprender conceptos que le aportamos,1,1,1,1,,1,0,1,0,1,0.25,0.5,1,0.75,Que pueden conectarse a otras maquinas y mandarles una orden,3,3,De reconocimiento de textos,Esto quiere decir que tiene que analizar los textos con los que le hemos entrenado,Que sea más potente la maquina
214,Chica,4º ESO,Teléfono móvil,Un dispositivo que reacciona a lo que pasa a su alrededor ,0,1,1,1,1,1,0,1,1,1,0.75,1.0,0.5,1.0,"Que sean tan "" inteligentes"" que puedan sustituir a los humanos en gran parte de las cosas ",Sí,,Chica,4º ESO,Teléfono móvil,Es un algoritmo con el cual el ordenador aprende unos datos que luego usa en un programa ,1,1,1,1,1,1,1,1,0,1,1,0.5,0,0.75,"Que quien lo programe, lo programe con fines malos ",5,4,De reconocimiento de imágenes,Para que clasifique el texto según los datos que le has metido ,"Es muy lento, estaría bien mas rapidez  a la hora de aprender los datos "
203,Chico,4º ESO,Ordenador fijo,es la parte de la tecnológia la ual hace que las maquinas piensen mediante algoritmos,1,1,1,1,0,,0,1,1,1,1.0,0.75,0.75,0.5,que las máquinas que usan esta tecnología no son capaces de reaccionar a algún cambio tan rápido como un ser humano,Sí,https://scratch.mit.edu/projects/348603650/,Chico,4º ESO,Ordenador fijo,Mediante un algoritmo ser capaz de relacionar imágenes o voz o texto y asociarlos para que la máquina cuando lo detecte sepa identificarlo.,0,1,1,1,1,,1,1,0,1,0.75,0.25,,0.5,que identifique unas cosas por el nombre de otras y eso puede llegar  confundir a la máquina.,5,3,De reconocimiento de imágenes,Para poder representar los usados anteriormente en Learning ML,mejorar un poco el reconocimiento e imagen
207,Chico,4º ESO,Ordenador portátil,Yo pienso que es una manera de hacer que los ordenadores hagan una serie de funciones de forma individual sin ayuda de las personas .,1,1,0,0,0,1,1,1,1,0,0.5,1.0,0.5,0.75,No se ninguno ,Sí,No me acuerdo de la cuenta ,Chico,4º ESO,Ordenador portátil,Es una técnica que permite entrenar a los ordenadores con datos de ejemplo para que desempeñen ciertas tareas; en vez de tener que programarlos con un conjunto explícito de pasos y reglas a seguir. ,1,1,1,1,1,1,1,1,0,0,0.5,0.75,0.75,0.5,no se ,4,4,De reconocimiento de textos,para clasificar la respuesta ,que sea un poco mas sencilla 
208,Chico,4º ESO,Ordenador portátil,La Inteligencia Artificial es una parte de la Informática en la cual podemos hacer que las máquinas tenga comportamientos inteligentes y razonables (para ello debemos programarlos).,1,0,0,1,0,1,1,1,1,0,0.5,1.0,1.0,0.25,"Se puede discriminar a algunas personas, se puede quitar la intimidad de algunas personas, se pueden manipular las pertenencias de algunas personas, se puede meter miedo...",Sí,"No, ya que no los tengo en mi ordenador.",Chico,4º ESO,Ordenador portátil,"La inteligencia artificial es la inteligencia llevada a cabo por máquinas. Con ella, podemos llevar a cabo proyectos muy interesantes.",0,1,1,1,1,1,1,1,1,1,0.5,1,1,0.75,Problemas en los puestos de trabajo (ya que cada día nos quitarán más).,5,4,De reconocimiento de textos,Sirve para clasificar la respuesta para ver si coincide con los valores que hemos dado en Learning ML.,"Que la página web deje las cosas un poco más claras, pero por lo demás bastante bien."
205,Chica,4º ESO,Ordenador portátil,Es un tipo de tecnología que hacen que las máquinas puedan pensar y realizar acciones por su cuenta.,1,1,1,1,0,1,1,1,1,1,0.0,1.0,0.75,0.75,"Que empiecen a reemplazar personas por máquinas, que lleva a que se despidan muchas personas y aumente el paro.",No,,Chica,4º ESO,Teléfono móvil,Es la capacidad de una máquina para poder realizar acciones y tomar decisiones por su cuenta.,0,1,1,1,1,1,1,1,1,1,0.75,1,0.5,0.75,El mayor problema es que los robots empiecen a reemplazar a los humanos.,5,4,De reconocimiento de textos,Para comparar el texto que hemos introducido con los textos que ha aprendido anteriormente.,Que pueda reconocer mejor las imágenes.
5156,Chico,6º Primaria,Ordenador portátil,La inteligencia artificial es la inteligencia que no es humana.,1,1,1,1,1,1,1,0,0,1,0.75,1.0,1.0,0.75,,Sí,,Chico,6º Primaria,Ordenador portátil,La inteligencia artificial es la de los ordenadores.Una inteligencia que creo que no se puede llegar a tenerla un ser humano.,1,1,1,1,0,1,1,0,1,1,0.75,1,1,0.5,No conozco ninguno,5,3,De reconocimiento de textos,Para saber de que tipo es. ejemplo:Cuando fue la primera carrera de coches?En 1950.,Ninguna perque senten tot.
209,Chico,4º ESO,Ordenador portátil,"Yo creo que es una forma en la cual a base de práctica una máquina puede comunicarse, o acertar una imagen que ha dibujado un humano u otra máquina, así aprende, reuniendo información.",1,1,1,1,1,1,1,1,1,1,1.0,0.75,1.0,0.75,"La recogida de datos de todo tipo de personas, incluidos nosotros, ya que consiguen información muy fácilmente, el hecho de que una persona con problemas mentales de información a una IA no afecta ya que es solo 1 entre muchos, esto me lo han planteado mucho.",Sí,https://scratch.mit.edu/projects/334703962,Chico,4º ESO,Ordenador portátil,La inteligencia artificial es una forma de hacer que una máquina reconozca expresiones o imágenes semejantes a la puestas en al ejemplo que usamos para entrenarlo.,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,Al usar información nuestra para entrenar puede haber problemas de privacidad,5,5,He hecho proyectos de los dos tipos,Para clasificar un texto en una categoría.,"El poder usar una pantalla interactiva en Scratch para poder dibujar en ella creo que facilitaría bastante, a si no tienes que encender la cámara"
219,Chico,4º ESO,Ordenador portátil,Un tipo de tecnología,0,0,0,1,0,1,1,0,1,1,0.75,1.0,0.5,0.0,Que el conocimiento de los ordenadores supere a la del ser humano hasta un punto muy excesivo,Sí,,Chico,4º ESO,Ordenador portátil,la búsque de que una maquina llegue a pensar como la mente humana,1,0,1,1,1,0,1,1,0,1,1,1,0.75,1,superen la inteligencia humana,5,3,De reconocimiento de textos,,
210,Chico,4º ESO,Ordenador portátil,Es el comportamiento que presentan las máquinas a la hora de relacionarse mediante las funciones con que ha sido programado,0,1,1,1,1,1,1,1,1,1,0.75,1.0,1.0,0.25,"Posibles errores, como por ejemplo, identificar como spam, correos importantes por tener similaridad con correos que realmente lo son. En un identificador de textos que convierta una imagen escrita a mano en un archivo .doc o .pdf que modifique la información, sobre todo en un pdf.",Sí,https://scratch.mit.edu/projects/349270581,Chico,4º ESO,Ordenador portátil,Es una capacidad de las máquinas que se les da para aprender y asociar datos similares a una misma categoría de datos,0,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,"Posibles errores, como por ejemplo asociar un correo que no sea spam a esa categoría, y de este modo pueda descartar correos importantes.",5,5,He hecho proyectos de los dos tipos,Sirve para que el programa decida a qué categoría pertenece un texto que se escriba,"Añadiría una herramienta de reconocimiento de sonidos, yo creo que sería curioso hablarle al ordenador para que ocurran cosas en Scratch"
3100,Chico,4º ESO,Ordenador portátil,la inteligencia artificial es cualquier tipo de aparatato electronico en el que se pueda navegar por internet ,1,1,1,1,1,1,0,0,1,1,0.5,0.0,0.25,0.75,que si la utilizas de mala manera puedes hacer mucho daño ,Sí,https://scratch.mit.edu/projects/399504947/,Chico,4º ESO,Teléfono móvil,La inteligencia que poseen los aparatos electrónicos ,1,0,1,1,1,1,0,0,1,1,0.25,1,0.25,0.25,Que se pueda revelar contra la humanidad ,5,2,De reconocimiento de textos,,No tengo ninguna idea para mejorarlo
5107,Chico,6º Primaria,Ordenador portátil,Una inteligencia artificial es una cosa programada como las recomanaciones del netflix que te pone por que has visto tal serie y te salen varias recomanaciones.,0,1,0,0,1,1,1,1,1,1,0.25,1.0,1.0,0.0,,Sí,,Chico,6º Primaria,Ordenador portátil,,0,1,0,0,0,1,1,1,1,1,0.75,1,1,0,,5,3,De reconocimiento de textos,,Ninguna
5124,Chica,6º Primaria,Ordenador portátil,,0,0,0,0,0,0,0,0,1,0,0.25,1.0,0.5,0.75,Yo creo que ninguno,Sí,,Chica,6º Primaria,Ordenador portátil,,1,0,0,0,0,1,0,0,0,1,0.75,0.5,0.25,1,,3,2,De reconocimiento de textos,,
222,Chico,4º ESO,Ordenador portátil,Es una herramiento que perimite a un dispositivo electrónico programado actuar de manera autónoma.,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.5,Que en malas manos puede atentar contra la dignidad o algún aspecto humano.,Sí,,Chico,4º ESO,Ordenador portátil,La Inteligencia Artificial es el conjunto de dispositivos electrónicos que usan la inteligencia o una especie de razonamiento.,1,1,1,0,1,1,1,1,1,1,1,1,1,0.5,Los peligros son el mal uso de dispositivos IA en contra de los seres humanos y para actividades que sean contraproducentes para nosotros.,5,5,De reconocimiento de textos,"Cuando utilizamos este bloque de programación y nosotros introducimos un texto, el modelo que hemos creado con Machine Learning va a clasificar nuestro texto en una de las categorías que nosotros hayamos establecido a la hora de entrenar el modelo, según el parecido que tenga dicho texto con los de ejemplo para cada categoría.",
5117,Chico,6º Primaria,Ordenador portátil,Yo creo que es cuando en un videojuego juega como si a través de la pantalla estuviera jugando alguien,1,1,0,0,0,0,1,0,1,1,0.25,0.25,0.5,0.5,no lo se,Sí,no he creado ninguno porque justo empezó la cuarentena aquí en España,Chico,6º Primaria,Ordenador portátil,es una herramienta que se programa a los  juegos para que parezca que alguien esta jugando detras de la pantalla,1,1,0,1,1,1,1,0,1,1,0.5,0.25,1,0.25,"cansar la vista, perder la vista",5,4,De reconocimiento de textos,no me acuerdo,poder poner un fondo que quieras en scrach y si eso se pudiera hacer cada vez que pongas una imagen poder canviar el fodo
3127,Chica,4º ESO,Ordenador portátil,"Yo creo que la inteligencia artifical son ""robots"" que tienen la capacidad de aprender. Estos robots tienen memoria y nos pueden ayudar. Son capaces de memorizar más cosas de las que tú les enseñes. Un ejemplo de donde se pueden usar estos robots sería en una partida de ajedrez.",1,1,1,0,1,1,1,1,1,1,0.5,0.75,0.5,0.75,Yo creo que un peligro que pueden tener son el hecho de que aprendan más que nosotros y se puedan volver contra nosotros.,Sí,"Pues no tengo el enlace a mano, pero yo creo que sería uno que hicimos en el colegio que hice un tipo de laberinto.",Chica,4º ESO,Ordenador portátil,"La inteligencia artificial es un sistema de aprendizaje que tienen los dispositivos electrónicos, en el cual, a partir de un fragmento de lo que estás buscando, el ordenador lo aprende y es capaz de detectar todo acerca de ello.",1,1,1,1,0,1,1,1,1,1,0.75,,0.5,0.75,Que la máquina supere al ser humano.,4,5,De reconocimiento de imágenes,Para introducir textos y que te muestre el tipo.,
5104,Chico,6º Primaria,Ordenador portátil,Yo creo que es las cosas que te recomienda tu movil o  el netflix.,1,1,1,0,0,1,1,0,1,0,0.25,0.5,0.75,0.5,,Sí,,Chico,6º Primaria,Ordenador portátil,Un robot que procesa informacion,0,1,1,1,0,0,1,1,1,1,0.5,0.25,0.5,0.5,Los Hakers,4,3,De reconocimiento de textos,Para saber  el genero del texto,Identificar películas 
5111,Chica,6º Primaria,Teléfono móvil,es la de los aparatos electrónicos ,1,0,0,0,0,1,1,1,1,1,0.5,0.25,0.75,0.5,Que te haqueen la cámara o el micrófono. ,Sí,,Chica,6º Primaria,Teléfono móvil,La inteligencia de los aparatos electrónicos ,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.75,0.5,que te haqueen el micrófono o la cámara ,5,3,He hecho proyectos de los dos tipos,"Dice si tu texto es positivo, negativo, etc...",Ninguna 
5825,Chica,5º Primaria,Ordenador portátil,ayuda virtual,0,1,0,0,0,1,1,1,0,1,0.5,1.0,1.0,0.5,,Sí,https://scratch.mit.edu/projects/349349208/,Chica,5º Primaria,Tableta,Inteligencia que no se puede tocar pero está ahí y nos puede servir para muchas cosas.,0,1,0,1,1,1,1,1,1,1,,,,,,5,5,De reconocimiento de textos,Para clasificar el texto.,Que tenga más idiomas y que también reconozca sonidos.
5816,Chico,5º Primaria,Ordenador portátil,,0,1,1,0,0,,0,0,0,0,0.25,1.0,0.5,0.0,"Destruya bastantes puestos de trabajo.
Las personas serían aun mas dependientes de las maquinas.
",No,,Chico,5º Primaria,Ordenador portátil,Es un tipo de tecnología superior que ara tareas de humanos normales.,0,1,1,1,0,1,0,0,0,0,0.25,1,0.25,0.75,menos puestos de trabajo pero una mejor economía en empresas por el tema de los sueldos,3,2,De reconocimiento de imágenes,para una respuesta o frase,´que tenga un lenguaje(practica) mas sencilla
5823,Chico,5º Primaria,Ordenador fijo,la inteligencia artificial es como  si en el google pones EJ: como hacer aviones de papel i al siguiente dia quires poner lo mismo te sale automáticamente.,0,0,1,0,1,0,0,0,1,1,0.25,0.0,0.75,0.0,paginas de mas de 18 años...,No,no he programado en scratch.,Chico,5º Primaria,Ordenador fijo,pues la inteligencia artificial es como los juegos que tienes objetos y sales del juego i se te guarda todo lo que tienes ahí.,0,0,0,1,1,1,1,1,1,1,0.25,0,0.25,1,"los hakers, las cuentas de mas 18 años.",4,3,De reconocimiento de textos,"es para poner ej: hablame sobre la edad media, algo así. ",pues hacer como mas frases y desarrollarte en escribir.
4117,Chica,4º ESO,Ordenador portátil,Todo dispositivo programado para interpretar unas órdenes y realizar tareas dependiendo de la orden que reciba. Algunos de estos dispositivos también son capaces de aprender a interpretar nuevas órdenes.,1,1,1,0,1,1,1,1,1,1,0.5,1.0,0.75,0.5,,Sí,https://scratch.mit.edu/projects/175550109/,Chica,4º ESO,Ordenador portátil,Cualquier maquina que utiliza algún tipo de inteligencia para desempeñar una tarea.,1,1,1,1,1,1,1,1,1,1,1,0.75,0.5,0.5,,5,5,He hecho proyectos de los dos tipos,"Para que el ordenador, utilizando el machine learning, clasifique el texto dentro de las categorías que se han decidido anteriormente",Que el scratch que se utiliza para hacer los proyectos funcione un poco como el original (por ejemplo que nos podamos registrar y compartir nuestros proyectos o guardarlos en la cuenta para no tener que guardarlo en el ordenador). También se podría diseñar una app o algo similar de forma que sea más cómodo programar con el teléfono.
218,Chico,4º ESO,Ordenador portátil,Un sistema mediante los robots entienden el proceso que tienen que realizar.,1,1,1,0,1,1,1,1,1,1,0.75,0.5,0.75,1.0,"El peligro de programar un ""terminator"" anteriormente mencionado o robots programados para destruir objetos que no se deberian es el mayor peligro que le veo.",Sí,,Chico,4º ESO,Ordenador portátil,Es un programa que determina las acciónes o procesos de un objeto o una app,1,1,1,1,1,1,1,1,1,1,1,0.5,0.25,0.5,Programación criminal,5,4,De reconocimiento de imágenes,Te reconocer que tipo de texto es después de haber establecido los tipos,Le veo bastante torpe en reconocimiento de formas y se centra demasiado en los colores en lo que a reconocimiento de imágenes se refiere
223,Chico,4º ESO,Ordenador fijo,"La Inteligencia Artificial son algoritmos por los cuales la máquina es capaz de ""pensar"".",1,0,1,1,1,1,1,1,1,1,0.5,0.75,0.75,0.75,"Que por algún error no cumplan con los objetivos establecidos y puedan provocar  daños a personas, ciudades, etc",Sí,https://scratch.mit.edu/projects/334504415,Chico,4º ESO,Ordenador fijo,"Es una máquina, que a través de una serie de algoritmos y aprendizaje, es capaz de desarrollar un tipo de inteligencia sencilla.",1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,0.75,"Que dejen de desempeñar las tarea de una forma correcta, perjudicando al ser humano.",5,4,De reconocimiento de imágenes,"Para reconocimiento de texto,",Ninguna
6203,Chico,3º ESO,Ordenador portátil,Es un programa para hacer actividades que pueden hacer una persona,1,1,0,1,1,0,1,0,0,1,0.5,0.5,0.75,0.5,No conozco ninguno,Sí,No tengo el enlace actualmente,Chico,3º ESO,Teléfono móvil,La inteligencia artificial es el conocimiento que un dispositivo va adquiriendo,1,1,0,1,1,1,1,1,1,1,0.75,0.5,1,0.75,No conozco ninguno de ellos,5,5,De reconocimiento de textos,Para reconocer de que tipo es el texto,El boton de compartir
1012,Chica,4º ESO,Ordenador portátil,Son sistemas que piensan por si mismos de la misma manera que pensaría un humano,1,1,1,1,1,1,1,1,1,1,0.5,0.25,0.75,0.25,Conozco una solamente es la invasión a la privacidad con fines de opresión o de perjudicar al otro para así conseguir algo o un beneficio.,Sí,https://scratch.mit.edu/projects/317571489,Chica,4º ESO,Ordenador portátil,Es hacer que una máquina sea capaz de resolver problemas en la cual la solución se necesita alguna característica de la inteligencia,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,Uno de ellos es el mal uso de este tanto así para conseguir un beneficio y que afecte al otro individuo,5,5,De reconocimiento de textos,Este bloque en si significa el modelo este sirve para así saber a que clase pertenece el texto que se introdujo,La verdad es que no se me ocurre ninguna mejora para la herramienta de LearningML 
6244,Chico,1º ESO,Teléfono móvil,"Es crear cosas que simulan q tienen vida propia, pero creadas por el hombre",1,1,0,1,1,1,1,1,0,0,0.0,1.0,1.0,0.75,,Sí,"El de programar a un dispositivo, que haya creado antes, por ejemplo un helicóptero de lego quedó.",Chico,6º Primaria,Teléfono móvil,,1,1,1,0,0,0,1,1,1,0,0.25,1,0,0.5,,2,3,De reconocimiento de textos,,
1001,Chica,4º ESO,Ordenador portátil,Yo creo que es darle la capacidad a las máquinas de realizar acciones humanas,0,1,0,1,1,1,1,1,1,1,0.25,0.25,0.25,1.0,"No lo sé, pero yo creo que los robots nos van a terminar mandando y exterminando",Sí,https://scratch.mit.edu/projects/316388048,Chica,4º ESO,Teléfono móvil,La capacidad de las máquinas de aprender y realizar acciones humanas,1,1,1,1,1,1,1,1,0,1,0.5,0.25,0.25,1,Que se vuelvan más fuertes e inteligentes que nosotros y nos maten a todos,5,5,De reconocimiento de textos,Para ver si una respuesta se puede clasificar en uno de los grupos hechos,"Que te explique bien como guardarlo, ya que es un poco confuso como uno puede guardarlo y después volverlo a abrir"
1004,Chica,4º ESO,Ordenador portátil,"Es la inteligencia de un aparato tecnológico, siendo inteligencia la capacidad de poder tomar decisiones por si mismo.",1,1,1,1,1,1,1,0,1,1,0.75,0.5,0.25,0.5,El robo de información privada y el que la maquina se vuelva más inteligente que el hombre.,Sí,,Chica,4º ESO,Ordenador portátil,La inteligencia artificial es una combinación de algoritmos planteados para crear máquinas que tengan capacidades parecidas o iguales que el ser humano.,1,1,1,1,1,1,1,1,0,0,0.5,0.75,0.5,0.5,"La capacidad de las máquinas de extraer y analizar información de manera masiva puede ser negativo, como el robo de informacion privada, es una amenaza cuando se trata de armas autónomas. ",4,3,De reconocimiento de textos,Este sirve para poder ejecutar el modelo que se ha creado en una programación.,Que hayan descripciones de los botones al momento de programar
1007,Chico,4º ESO,Ordenador portátil,La capacidad de que una computadora haga labores pensando que es un humano,1,1,1,1,0,0,0,0,1,1,0.75,0.5,0.75,0.75,"Que piensen mas de la cuenta, se programen solos y dominen a la raza humana",Sí,,Chico,4º ESO,Ordenador portátil,La capacidad de una computadora para poder pensar como si fuera un humano para poder resolver ciertos problemas planteados.,1,1,1,1,1,0,1,0,0,1,0.5,0,0.25,1,"Que al ser programado por seres humanos, estos quieren que las computadoras piensen igual que ellos, que un dia mas adelante piensen de forma independiente y logren dominar al mundo, estilo Terminator",5,5,De reconocimiento de imágenes,Clasifica la respuesta que tu le das a la computadora para que la interprete,"Ninguna por el momento, es facil de entender y aplicar"
1003,Chica,4º ESO,Ordenador portátil,La inteligencia en objetos para que tengan capacidades similares o iguales a nosotros,1,1,1,1,1,1,1,1,0,1,0.75,0.5,0.5,0.75,,No,,Chica,4º ESO,Ordenador portátil,La inteligencia artificial es la que quiere lograr que las maquinas logren cualidades mas humanas.,1,1,1,1,1,1,1,1,0,1,0.25,0.25,0.25,0.75,que cobren vida propia,5,5,De reconocimiento de textos,Para clasificar la respuesta que tu das para que el computador te entienda,
1032,Chico,4º ESO,Ordenador portátil,"Un tipo de tecnología que se basa en la inteligencia de las máquinas, que actúa a a través de herramientas como el auto aprendizaje, con el objetivo de maximizar la eficacia y el rendimiento de estas. De alguna manera, las IA tratan de replicar el pensamiento y el razonamiento humano.",1,1,1,1,1,1,1,1,1,0,0.5,0.25,1.0,1.0,"Mal uso de estas o uso delictivo, seguridad informática, protección de datos.",Sí,,Chico,4º ESO,Ordenador portátil,"Una tecnología en vías de desarrollo que trata de emular el funcionamiento del cerebro humano, en concreto, la inteligencia humana.",1,1,1,1,1,1,1,1,1,1,0.75,0.25,1,0.75,"Seguridad informática, uso delictivo o mal uso que puede llevar a graves consecuencias (debido al potencial de la tecnología) e incluso accidentes (por ejemplo en automóviles autónomos)",5,4,De reconocimiento de textos,"Para clasificar las repuestas o un texto, en las distintas clases que habían sido creadas en el proceso de entrenamiento",
1021,Chico,4º ESO,Ordenador portátil,"Es la capacidad de una maquina, programada para que pueda realizar tareas por si sola",1,1,0,0,0,1,1,1,1,0,0.25,0.5,0.5,0.25,"Que pueda haber un error, o que realmente pueda tomar conciencia y volverse malo",No,"nunca supe bien como programar, solo una vez utilice thunkable para crear una app ",Chico,4º ESO,Ordenador portátil,Una manera de responder a una pregunta sin necesariamente ser un humano,1,0,1,1,0,1,0,1,0,0,0,0.75,0.5,0.25,realizar un fallo,3,2,De reconocimiento de textos,para agregar los datos aprendidos por la app,que se programen aun mas facil
1023,Chico,4º ESO,Ordenador portátil,"la inteligencia artificial son sistemas que hacen cosas como humanos, accionan y funcionan como estos.",1,1,1,0,0,1,0,0,1,1,0.25,1.0,0.75,0.5,"un peligro puede ser que como la tecnología avanza tan rápido, las mismas maquinas pueden aprender por si solas y nosotros nos podríamos ver afectados.",Sí,"no lo se tengo que hacerlo para ver, no estoy muy informado para responder",Chico,4º ESO,Ordenador portátil,es informatica con el fin de hacer acciones y pensar como humanos,1,1,1,1,0,1,1,0,1,1,0.25,1,0.75,0.5,"que puedan ser mas inteligentes que los humanos, teniendo mas capacidades",4,3,De reconocimiento de textos,para que clasifique los textos a ingresados para que asi tenga una respuesta acuerdo a lo escrito,que sea mas simple
